Culture Number,Slice,Count,Total Area,Average Size,%Area
1,DAPI_72h\2020-06-01T04_21_04Z_rec4xc5qMhOyty05L_1-Axio_m0Fg8.jpg,1715,1641950,957,10
2,DAPI_72h\2020-06-01T04_21_29Z_rec4xc5qMhOyty05L_1-Axio_8Alov.jpg,2112,2357319,1116,15
3,DAPI_72h\2020-06-01T04_21_55Z_rec4xc5qMhOyty05L_1-Axio_9voXr.jpg,1553,2014422,1297,13
4,DAPI_72h\2020-06-01T04_23_10Z_rec4xc5qMhOyty05L_1-Axio_eL0JU.jpg,1966,2011165,1023,13
5,DAPI_72h\2020-06-01T04_23_40Z_rec4xc5qMhOyty05L_1-Axio_jAOog.jpg,1858,1718641,925,11
6,DAPI_72h\2020-06-01T04_24_08Z_rec4xc5qMhOyty05L_1-Axio_vlbQD.jpg,1855,1320583,712,8
7,DAPI_72h\2020-06-01T04_24_36Z_rec4xc5qMhOyty05L_1-Axio_0Xglf.jpg,1959,1220587,623,8
8,DAPI_72h\2020-06-01T04_25_01Z_rec4xc5qMhOyty05L_1-Axio_a7440.jpg,2375,1647355,694,10
9,DAPI_72h\2020-06-01T04_26_54Z_rec4xc5qMhOyty05L_1-Axio_Pfa4w.jpg,1888,1662540,881,10
10,DAPI_72h\2020-06-01T04_27_27Z_rec4xc5qMhOyty05L_1-Axio_4bltk.jpg,2342,1575049,673,10
