Culture Number,Slice,Count,Total Area,Average Size,%Area
1,DAPI_96h\2020-06-01T04_14_30Z_recuwGD3Ym7oHQyLS_1-Axio_DTLlQ.jpg,6293,4683679,744,29
2,DAPI_96h\2020-06-01T04_15_05Z_recuwGD3Ym7oHQyLS_1-Axio_Wmznz.jpg,5366,5275914,983,33
3,DAPI_96h\2020-06-01T04_15_34Z_recuwGD3Ym7oHQyLS_1-Axio_By17a.jpg,4685,4738813,1011,30
4,DAPI_96h\2020-06-01T04_16_02Z_recuwGD3Ym7oHQyLS_1-Axio_U9HzK.jpg,5012,5272476,1052,33
5,DAPI_96h\2020-06-01T04_16_28Z_recuwGD3Ym7oHQyLS_1-Axio_grikz.jpg,4488,4837850,1078,30
6,DAPI_96h\2020-06-01T04_16_53Z_recuwGD3Ym7oHQyLS_1-Axio_3OT2p.jpg,3918,3788938,967,24
7,DAPI_96h\2020-06-01T04_17_16Z_recuwGD3Ym7oHQyLS_1-Axio_ylFUn.jpg,5813,4700269,809,30
8,DAPI_96h\2020-06-01T04_17_51Z_recuwGD3Ym7oHQyLS_1-Axio_N6sWl.jpg,5629,3601345,640,23
9,DAPI_96h\2020-06-01T04_18_23Z_recuwGD3Ym7oHQyLS_1-Axio_sovTY.jpg,4127,4030706,977,25
10,DAPI_96h\2020-06-01T04_18_53Z_recuwGD3Ym7oHQyLS_1-Axio_dcIzP.jpg,3836,4968516,1295,31
