Culture Number,Slice,Count,Total Area,Average Size,%Area
1,DAPI_48h\2020-06-01T04_29_27Z_recN9LpeAS5rZJU25_1-Axio_ecWzN.jpg,610,961981,1577,6
2,DAPI_48h\2020-06-01T04_29_58Z_recN9LpeAS5rZJU25_1-Axio_7vJkx.jpg,783,1178857,1506,7
3,DAPI_48h\2020-06-01T04_30_27Z_recN9LpeAS5rZJU25_1-Axio_UQm9b.jpg,558,566419,1015,4
4,DAPI_48h\2020-06-01T04_31_02Z_recN9LpeAS5rZJU25_1-Axio_yxxK0.jpg,629,1173241,1865,7
5,DAPI_48h\2020-06-01T04_31_29Z_recN9LpeAS5rZJU25_1-Axio_6Z92E.jpg,476,899132,1889,6
6,DAPI_48h\2020-06-01T04_31_55Z_recN9LpeAS5rZJU25_1-Axio_WdUvS.jpg,535,659727,1233,4
7,DAPI_48h\2020-06-01T04_32_40Z_recN9LpeAS5rZJU25_1-Axio_nhJGW.jpg,695,715948,1030,4
8,DAPI_48h\2020-06-01T04_33_13Z_recN9LpeAS5rZJU25_1-Axio_ce9MS.jpg,596,664244,1115,4
9,DAPI_48h\2020-06-01T04_33_44Z_recN9LpeAS5rZJU25_1-Axio_XqBTa.jpg,468,924119,1975,6
10,DAPI_48h\2020-06-01T04_34_19Z_recN9LpeAS5rZJU25_1-Axio_j9gWe.jpg,560,724749,1294,5
